process_id,process_name,cpu_percent,memory_usage,timestamp
671,APFSUserAgent,0.0,5.21875,2025-07-18 15:34:07.696957
672,routined,0.0,42.5,2025-07-18 15:34:07.697005
674,lockoutagent,0.0,7.578125,2025-07-18 15:34:07.697051
675,ContextStoreAgent,0.0,31.765625,2025-07-18 15:34:07.697113
676,CallHistoryPluginHelper,0.0,17.25,2025-07-18 15:34:07.697183
677,ScreenTimeAgent,0.0,28.234375,2025-07-18 15:34:07.697240
679,ReportCrash,0.0,3.125,2025-07-18 15:34:07.697328
680,UIKitSystem,0.0,32.53125,2025-07-18 15:34:07.697374
681,DisplayLinkXpcService,0.0,1.6875,2025-07-18 15:34:07.697433
682,heard,0.0,40.90625,2025-07-18 15:34:07.697481
683,corespeechd,0.0,25.125,2025-07-18 15:34:07.697524
684,axassetsd,0.0,27.515625,2025-07-18 15:34:07.697575
686,BiomeAgent,0.0,19.828125,2025-07-18 15:34:07.697619
688,NotificationCenter,0.0,130.578125,2025-07-18 15:34:07.697682
689,imklaunchagent,0.0,11.59375,2025-07-18 15:34:07.697726
691,icdd,0.0,6.375,2025-07-18 15:34:07.697772
692,askpermissiond,0.0,11.46875,2025-07-18 15:34:07.697815
694,AirPlayUIAgent,0.0,22.078125,2025-07-18 15:34:07.697866
695,imagent,0.0,36.859375,2025-07-18 15:34:07.697914
696,diagnostics_agent,0.0,15.921875,2025-07-18 15:34:07.697978
697,TextInputMenuAgent,0.0,75.046875,2025-07-18 15:34:07.698041
699,amsaccountsd,0.0,30.203125,2025-07-18 15:34:07.698086
702,DisplayLinkUserAgent,0.0,72.296875,2025-07-18 15:34:07.698194
704,ContainerMetadataExtractor,0.0,17.71875,2025-07-18 15:34:07.698251
705,Spotlight,0.0,205.8125,2025-07-18 15:34:07.698299
706,chronod,0.0,53.03125,2025-07-18 15:34:07.698347
707,ctkahp,0.0,5.1875,2025-07-18 15:34:07.698395
709,TextInputSwitcher,0.0,25.515625,2025-07-18 15:34:07.698455
710,financed,0.0,13.234375,2025-07-18 15:34:07.698501
711,siriinferenced,0.0,61.96875,2025-07-18 15:34:07.698551
712,lockdownmoded,0.0,7.953125,2025-07-18 15:34:07.698598
713,diagnosticextensionsd,0.0,9.734375,2025-07-18 15:34:07.698658
714,UsageTrackingAgent,0.0,22.421875,2025-07-18 15:34:07.698718
715,AppSSOAgent,0.0,47.546875,2025-07-18 15:34:07.698763
716,localizationswitcherd,0.0,10.25,2025-07-18 15:34:07.698825
718,pbs,0.0,9.53125,2025-07-18 15:34:07.698912
720,assistantd,0.0,54.359375,2025-07-18 15:34:07.698955
721,extensionkitservice,0.0,4.65625,2025-07-18 15:34:07.699017
722,CursorUIViewService,0.0,36.859375,2025-07-18 15:34:07.699077
723,PAH_Extension,0.0,19.03125,2025-07-18 15:34:07.699120
724,com.apple.CloudDocs.iCloudDriveFileProvider,0.0,15.265625,2025-07-18 15:34:07.699176
725,WiFiAgent,0.0,44.796875,2025-07-18 15:34:07.699221
726,milod,0.0,20.296875,2025-07-18 15:34:07.699265
728,contactsd,0.0,35.234375,2025-07-18 15:34:07.699352
729,FamilyControlsAgent,0.0,5.0,2025-07-18 15:34:07.699411
730,familycircled,0.0,18.90625,2025-07-18 15:34:07.699458
731,homed,0.0,48.625,2025-07-18 15:34:07.699502
732,sirittsd,0.0,12.484375,2025-07-18 15:34:07.699550
733,followupd,0.0,6.375,2025-07-18 15:34:07.699596
735,assistant_cdmd,0.0,11.96875,2025-07-18 15:34:07.699639
736,extensionkitservice,0.0,11.65625,2025-07-18 15:34:07.699704
738,appleaccountd,0.0,22.71875,2025-07-18 15:34:07.699748
739,corespotlightd,0.0,152.75,2025-07-18 15:34:07.699790
741,loginitemregisterd,0.0,7.09375,2025-07-18 15:34:07.699889
742,com.apple.geod,0.0,27.90625,2025-07-18 15:34:07.699945
743,cdpd,0.0,13.703125,2025-07-18 15:34:07.699982
744,parsecd,0.0,19.90625,2025-07-18 15:34:07.700018
745,StatusKitAgent,0.0,19.390625,2025-07-18 15:34:07.700054
746,TrustedPeersHelper,0.0,14.59375,2025-07-18 15:34:07.700116
747,akd,0.0,52.5,2025-07-18 15:34:07.700155
748,MTLAssetUpgraderD,0.0,8.09375,2025-07-18 15:34:07.700215
749,networkserviceproxy,0.0,36.625,2025-07-18 15:34:07.700271
750,swcd,0.0,15.390625,2025-07-18 15:34:07.700311
751,duetexpertd,0.0,51.890625,2025-07-18 15:34:07.700351
752,linkd,0.0,28.453125,2025-07-18 15:34:07.700389
753,MENotificationAgent,0.0,5.890625,2025-07-18 15:34:07.700445
754,BackgroundTaskManagementAgent,0.0,16.890625,2025-07-18 15:34:07.700503
755,siriknowledged,0.0,39.75,2025-07-18 15:34:07.700541
756,commerce,0.0,13.609375,2025-07-18 15:34:07.700581
757,com.apple.FaceTime.FTConversationService,0.0,9.921875,2025-07-18 15:34:07.700636
758,IMDPersistenceAgent,0.0,23.5,2025-07-18 15:34:07.700688
759,CategoriesService,0.0,11.140625,2025-07-18 15:34:07.700746
760,ContextService,0.0,14.703125,2025-07-18 15:34:07.700786
761,iCloudNotificationAgent,0.0,23.625,2025-07-18 15:34:07.700841
762,itunescloudd,0.0,26.203125,2025-07-18 15:34:07.700880
